"PercentOfNAV","ClientAccountID","AssetClass","SubCategory","Symbol","ListingExchange","Quantity","CostBasisPrice","CostBasisMoney","FifoPnlUnrealized","CurrencyPrimary","FXRateToBase","Description","PositionValue"
"1.89","U9596325","STK","CLOSED-END FUND","3IN","LSE","200","3.3425","668.5","50.5","GBP","1.3485","3I INFRASTRUCTURE PLC","719"
"1.35","U9596325","STK","CLOSED-END FUND","CTY","LSE","100","3.974725","397.4725","113.5275","GBP","1.3485","CITY OF LONDON INVESTMENT TR","511"
"3.86","U9596325","STK","CLOSED-END FUND","GCP","LSE","2000","0.81697","1633.94","-167.94","GBP","1.3485","GCP INFRASTRUCTURE INVESTMEN","1466"
"16.00","U9596325","STK","CLOSED-END FUND","HICL","LSE","5000","1.397573232","6987.866161","-917.866161","GBP","1.3485","HICL INFRASTRUCTURE PLC","6070"
"32.46","U9596325","STK","CLOSED-END FUND","INPPl","LSE","10000","1.257150641","12571.506407","-251.506407","GBP","1.3485","INTERNATIONAL PUBLIC PARTNER","12320"
"6.65","U9596325","STK","REIT","LAND","LSE","420","5.949732143","2498.8875","25.3125","GBP","1.3485","LAND SECURITIES GROUP PLC","2524.2"
"0.20","U9596325","STK","CLOSED-END FUND","SEQI","LSE","100","0.85104","85.104","-8.104","GBP","1.3485","SEQUOIA ECONOMIC INFRASTRUCT","77"
"20.16","U9596325","STK","CLOSED-END FUND","TRIG","LSE","10000","0.9601","9601","-1951","GBP","1.3485","RENEWABLES INFRASTRUCTURE GR","7650"
"17.42","U9596325","STK","CLOSED-END FUND","UKW","LSE","6000","1.341442925","8048.65755","-1436.65755","GBP","1.3485","GREENCOAT UK WIND PLC","6612"
